# commit: 4a95e874c3b92973d5ed4577bb8cebe7d09f8123
# spec_sha256: 7377ef3cb2949720c28e3ecdd800621e5460ca5e300d5f815f68374800f993b4
"item","section","topic","recommendation","status","evidence","substantive_limitation"
11,"Methods","Selection of outcomes","Describe what outcomes were used as the measure(s) of benefit(s) and harm(s).","repository","QALYs and costs combined as net monetary benefit; SPEC.md section 1.",FALSE
12,"Methods","Measurement of outcomes","Describe how outcomes used to capture benefit(s) and harm(s) were measured.","repository","Aliyev 2019 transition matrices and NCHS life tables, each with a provenance sidecar under data/raw/.",FALSE
13,"Methods","Valuation of outcomes","Describe the population and methods used to measure and value outcomes.","repository","EQ-5D utilities from Aliyev Suppl. Table 5, transcribed with sidecar.",FALSE
14,"Methods","Measurement and valuation of resources and costs","Describe how costs were valued.","repository","data/raw/ unit costs (CMS ASP, CMS PFS, Aliyev health states) and derive/health_state_costs.R.",FALSE
15,"Methods","Currency, price date, and conversion","Report the dates of the estimated resource quantities and unit costs, plus the currency and year of conversion.","repository","All costs re-based to 2025 USD through medical-care CPI (R/price_index.R); euro figures converted at the source year's rate. Amendment recorded.",FALSE
16,"Methods","Rationale and description of model","If modelling is used, describe in detail and why used. Report if the model is publicly available and where it can be accessed.","repository","SPEC.md section 3 and the R/ modules; model publicly available at github.com/ebstone/treg-value.",FALSE
17,"Methods","Analytics and assumptions","Describe any methods for analysing or statistically transforming data, any extrapolation methods, and approaches for validating any model used.","repository","SPEC_AMENDMENTS.md records every assumption; validation is the eight guards plus acceptance tests T1-T21 in tests/testthat/.",FALSE
18,"Methods","Characterising heterogeneity","Describe any methods used for estimating how the results of the study vary for subgroups.","repository","No subgroup or heterogeneity comparison is reported as a study result. The refractory-adjusted co-primary population was retired as a subgroup contrast (SPEC_AMENDMENTS.md, 2026-08-21): R/refractory.R and output/tables/refractory_coprimary.csv still exist, still pass their own tests, and are accurate as far as they go, but are no longer reported as a co-primary or subgroup finding. The single population's comparator dynamics pool biologic-naive and biologic-experienced patients rather than separating them (SPEC.md section 2).",FALSE
19,"Methods","Characterising distributional effects","Describe how impacts are distributed across different individuals or adjustments made to reflect priority populations.","manuscript","No distributional or equity analysis was undertaken; results are not disaggregated by socioeconomic group, race, geography or priority population. CHEERS is satisfied by reporting this as Not applicable, but the absence is a substantive limitation for item 26 to discuss.",TRUE
20,"Methods","Characterising uncertainty","Describe methods to characterise any sources of uncertainty in the analysis.","repository","1,000-draw probabilistic analysis (R/psa.R) over A1-A5's health-state costs, utilities, comparator price and transition rows; L5/L6 bounding pairs on every primary output; the scenario grid (SPEC.md section 5). Pi, h and lambda are swept, not sampled, across A1-A7. A7 states rather than sweeps its three normative contract parameters (installment length N, rebate share rho, observation point T -- L17/L19) and deliberately builds no per-patient outcome distribution for the outcomes-based contract (L18), a decision recorded so the absence of a variance or budget-predictability claim is not mistaken for an oversight.",FALSE
21,"Methods","Approach to engagement with patients and others affected by the study","Describe any approaches to engage patients or service recipients, the general public, communities, or stakeholders (such as clinicians or payers) in the design of the study.","manuscript","No patient, public, clinician or payer engagement in study design. Reported as Not applicable. A substantive limitation given the study prices a therapy on behalf of patients who were not consulted.",TRUE
22,"Results","Study parameters","Report all analytic inputs (such as values, ranges, references) including uncertainty or distributional assumptions.","repository","data/raw/ with a sidecar per file; PSA distributions are Aliyev's own fitted parameters, documented in R/psa.R.",FALSE
23,"Results","Summary of main results","Report the mean values for the main categories of costs and outcomes of interest and summarise them in the most appropriate overall measure.","repository","output/tables/ aim outputs; readout artifact.",FALSE
24,"Results","Effect of uncertainty","Describe how uncertainty about analytic judgments, inputs, or projections affect findings. Report the effect of choice of discount rate and time horizon, if applicable.","repository","PSA credible intervals (output/tables/psa_summary.csv); discount rate varied at 0% and 5% in output/tables/scenarios.csv (disc-0/disc-5 rows). No time-horizon scenario exists in scenarios.csv -- L10 states the reporting horizon rather than sweeping it -- so the effect of horizon choice is instead shown directly as the reported ladder in output/tables/budget_impact.csv and output/tables/payment_arrangements.csv (1/3/5/10/30 years), together with the two discounting columns L11 requires at every one of those horizons.",FALSE
25,"Results","Effect of engagement with patients and others affected by the study","Report on any difference patient/service recipient, general public, community, or stakeholder involvement made to the approach or findings of the study.","manuscript","Not applicable, following item 21 -- there is no engagement whose effect could be reported.",FALSE
26,"Discussion","Study findings, limitations, generalisability, and current knowledge","Report key findings, limitations, ethical or equity considerations not captured, and how these could affect patients, policy, or practice.","partial","Limitations are recorded in the readout artifact and in OPEN_QUESTIONS.md, but ethical and equity considerations are not, and generalisability is not discussed. Completing this item needs the manuscript.",TRUE
27,"Other relevant information","Source of funding","Describe how the study was funded and any role of the funder in the identification, design, conduct, and reporting of the analysis.","manuscript","Manuscript funding statement.",FALSE
28,"Other relevant information","Conflicts of interest","Report authors conflicts of interest according to journal or International Committee of Medical Journal Editors requirements.","manuscript","Manuscript conflict-of-interest statement.",FALSE
